Month,Year,TAM
11,1952,-1.4
12,1952,-5.6
01,1953,-8.2
02,1953,-6.5
03,1953,-10.6
04,1953,-9.5
05,1953,-1.9
06,1953,4.4
07,1953,5.2
08,1953,6.2
09,1953,3.1
10,1953,2.5
11,1953,1.1
12,1953,0.6
01,1954,-3.3
02,1954,-2.1
03,1954,-5.7
04,1954,-2.4
05,1954,0.7
06,1954,2.2
07,1954,5.6
08,1954,4.6
09,1954,3.5
10,1954,0.4
11,1954,0.1
12,1954,-0.5
01,1955,-8.0
02,1955,-7.0
03,1955,-4.8
04,1955,-4.6
05,1955,-1.7
06,1955,1.0
07,1955,4.8
08,1955,5.2
09,1955,4.7
10,1955,-0.7
11,1955,-6.7
12,1955,-6.8
01,1956,-3.9
02,1956,-3.6
03,1956,-3.4
04,1956,-4.7
05,1956,-0.9
06,1956,2.0
07,1956,5.6
08,1956,3.8
09,1956,2.2
10,1956,0.5
11,1956,-0.5
12,1956,-0.4
01,1957,-2.4
02,1957,-5.4
03,1957,-4.2
04,1957,-2.6
05,1957,-1.1
06,1957,1.9
07,1957,3.7
08,1957,5.3
09,1957,3.4
10,1957,2.3
11,1957,-1.1
12,1957,-6.5
01,1958,-4.7
02,1958,-5.9
03,1958,-7.3
04,1958,-4.3
05,1958,-0.4
06,1958,2.5
07,1958,3.7
08,1958,3.6
09,1958,2.8
10,1958,0.1
11,1958,-1.5
12,1958,-7.1
01,1959,-11.3
02,1959,-4.7
03,1959,-4.1
04,1959,-4.6
05,1959,-0.5
06,1959,2.7
07,1959,4.5
08,1959,4.9
09,1959,1.9
10,1959,0.9
11,1959,0.4
12,1959,-1.2
01,1960,-7.2
02,1960,-11.8
03,1960,-2.2
04,1960,-1.3
05,1960,1.8
06,1960,2.5
07,1960,6.4
08,1960,4.3
09,1960,5.2
10,1960,-2.4
11,1960,-2.6
12,1960,-7.4
01,1961,-5.4
02,1961,-7.7
03,1961,-8.9
04,1961,-9.0
05,1961,-1.9
06,1961,2.8
07,1961,4.8
08,1961,5.9
09,1961,3.2
10,1961,3.2
11,1961,-0.6
12,1961,-8.6
01,1962,-9.4
02,1962,-8.6
03,1962,-17.6
04,1962,-7.1
05,1962,-5.8
06,1962,-0.1
07,1962,3.3
08,1962,2.6
09,1962,2.3
10,1962,-0.1
11,1962,-1.7
12,1962,-8.3
01,1963,-13.1
02,1963,-17.4
03,1963,-12.9
04,1963,-8.8
05,1963,0.1
06,1963,1.2
07,1963,2.9
08,1963,3.8
09,1963,2.8
10,1963,1.2
11,1963,-5.6
12,1963,-10.3
01,1964,-8.0
02,1964,-5.8
03,1964,-2.1
04,1964,-4.5
05,1964,0.4
06,1964,1.4
07,1964,4.6
08,1964,3.9
09,1964,2.7
10,1964,0.9
11,1964,-2.8
12,1964,-2.0
01,1965,-6.4
02,1965,-8.0
03,1965,-12.8
04,1965,-3.5
05,1965,-3.2
06,1965,0.7
07,1965,1.4
08,1965,2.4
09,1965,2.1
10,1965,-1.0
11,1965,-3.1
12,1965,-7.6
01,1966,-12.8
02,1966,-13.6
03,1966,-11.6
04,1966,-5.3
05,1966,-3.6
06,1966,1.7
07,1966,4.0
08,1966,3.4
09,1966,0.8
10,1966,-3.4
11,1966,-3.1
12,1966,-1.7
01,1967,-12.0
02,1967,-4.9
03,1967,-6.0
04,1967,-4.5
05,1967,-2.0
06,1967,1.8
07,1967,4.5
08,1967,4.1
09,1967,3.0
10,1967,-2.0
11,1967,-1.6
12,1967,-10.9
01,1968,-13.5
02,1968,-10.9
03,1968,-13.4
04,1968,-6.9
05,1968,-3.8
06,1968,0.6
07,1968,3.2
08,1968,3.4
09,1968,0.7
10,1968,-8.3
11,1968,-6.4
12,1968,-9.8
01,1969,-8.4
02,1969,-5.1
03,1969,-10.4
04,1969,-8.6
05,1969,-1.2
06,1969,1.2
07,1969,5.8
08,1969,5.2
09,1969,3.9
10,1969,1.3
11,1969,-3.4
12,1969,-3.0
01,1970,-8.4
02,1970,-15.2
03,1970,-4.5
04,1970,-6.2
05,1970,-0.3
06,1970,3.3
07,1970,4.3
08,1970,5.4
09,1970,2.8
10,1970,0.8
11,1970,-4.3
12,1970,-8.2
01,1971,-14.4
02,1971,-4.5
03,1971,-10.5
04,1971,-6.4
05,1971,-1.3
06,1971,0.6
07,1971,4.1
08,1971,3.9
09,1971,2.2
10,1971,-2.0
11,1971,-10.8
12,1971,-5.6
01,1972,-0.4
02,1972,-4.0
03,1972,-4.7
04,1972,-6.2
05,1972,-0.9
06,1972,3.9
07,1972,6.2
08,1972,5.8
09,1972,4.1
10,1972,0.5
11,1972,-0.8
12,1972,-1.2
01,1973,-2.3
02,1973,-7.5
03,1973,-7.0
04,1973,-4.0
05,1973,-0.6
06,1973,3.8
07,1973,6.5
08,1973,4.8
09,1973,2.8
10,1973,-1.3
11,1973,-7.7
12,1973,-7.8
01,1974,-2.4
02,1974,-3.3
03,1974,0.3
04,1974,-2.8
05,1974,-0.5
06,1974,3.3
07,1974,4.7
08,1974,4.9
09,1974,4.2
10,1974,1.3
11,1974,-1.5
12,1974,-2.6
01,1975,-7.2
02,1975,-6.5
03,1975,-5.5
04,1975,-5.0
05,1975,-1.1
06,1975,0.3
07,1975,3.3
08,1975,4.0
09,1975,2.6
10,1975,-1.7
11,1975,-4.0
12,1975,-11.6
01,1976,-9.1
02,1976,-3.8
03,1976,-2.2
04,1976,-4.1
05,1976,0.1
06,1976,3.0
07,1976,6.4
08,1976,5.9
09,1976,2.0
10,1976,-0.1
11,1976,-2.7
12,1976,-3.9
01,1977,-6.5
02,1977,-7.0
03,1977,-12.0
04,1977,-8.9
05,1977,-2.1
06,1977,0.1
07,1977,2.6
08,1977,4.6
09,1977,2.2
10,1977,-0.1
11,1977,-1.4
12,1977,-5.0
01,1978,-12.8
02,1978,-15.4
03,1978,-9.4
04,1978,-5.0
05,1978,-1.4
06,1978,2.1
07,1978,3.8
08,1978,5.2
09,1978,1.3
10,1978,-0.6
11,1978,-3.3
12,1978,-7.3
01,1979,-10.6
02,1979,-7.4
03,1979,-5.2
04,1979,-6.8
05,1979,-3.5
06,1979,1.6
07,1979,6.4
08,1979,5.4
09,1979,3.2
10,1979,0.0
11,1979,-2.2
12,1979,-4.9
01,1980,-7.5
02,1980,-7.3
03,1980,-6.7
04,1980,-3.0
05,1980,-1.5
06,1980,2.7
07,1980,4.1
08,1980,5.9
09,1980,3.2
10,1980,-1.5
11,1980,-6.9
12,1980,-12.8
01,1981,-12.0
02,1981,-3.2
03,1981,-12.4
04,1981,-6.5
05,1981,-1.2
06,1981,1.1
07,1981,4.1
08,1981,4.4
09,1981,3.2
10,1981,0.0
11,1981,-1.4
12,1981,-10.0
01,1982,-12.0
02,1982,-7.0
03,1982,-3.6
04,1982,-3.6
05,1982,-2.1
06,1982,0.1
07,1982,4.1
08,1982,2.8
09,1982,0.8
10,1982,-0.5
11,1982,-2.5
12,1982,-5.9
01,1983,-4.1
02,1983,-6.4
03,1983,-2.9
04,1983,-2.9
05,1983,-0.6
06,1983,3.4
07,1983,6.0
08,1983,4.5
09,1983,3.4
10,1983,-0.7
11,1983,-8.8
12,1983,-11.6
01,1984,-4.5
02,1984,-1.6
03,1984,-7.5
04,1984,-1.8
05,1984,-0.3
06,1984,2.7
07,1984,3.8
08,1984,5.0
09,1984,3.6
10,1984,1.4
11,1984,-0.7
12,1984,0.0
01,1985,-5.3
02,1985,-4.7
03,1985,-4.9
04,1985,-7.6
05,1985,-1.6
06,1985,0.5
07,1985,4.8
08,1985,4.4
09,1985,2.6
10,1985,-0.2
11,1985,-2.8
12,1985,-6.7
01,1986,-6.2
02,1986,-9.8
03,1986,-4.7
04,1986,-6.7
05,1986,-0.2
06,1986,3.5
07,1986,5.0
08,1986,4.7
09,1986,1.7
10,1986,0.5
11,1986,-2.5
12,1986,-6.1
01,1987,-6.6
02,1987,-11.7
03,1987,-5.6
04,1987,-3.0
05,1987,-1.1
06,1987,0.8
07,1987,3.8
08,1987,3.6
09,1987,2.3
10,1987,1.0
11,1987,-2.5
12,1987,-13.4
01,1988,-7.5
02,1988,-5.9
03,1988,-8.9
04,1988,-9.4
05,1988,-1.3
06,1988,2.2
07,1988,4.0
08,1988,4.3
09,1988,2.3
10,1988,-3.3
11,1988,-9.6
12,1988,-12.2
01,1989,-10.4
02,1989,-10.4
03,1989,-6.8
04,1989,-1.6
05,1989,0.0
06,1989,2.4
07,1989,4.9
08,1989,5.6
09,1989,3.6
10,1989,-0.3
11,1989,-2.7
12,1989,-9.3
01,1990,2.7
02,1990,-2.9
03,1990,-6.0
04,1990,-3.1
05,1990,-0.8
06,1990,2.5
